timestamp,close,open,high,low
2019-02-04,105.2903,102.4325,105.35,102.3329
2019-02-05,106.764,105.6089,106.8138,105.5094
2019-02-06,105.5791,106.5449,106.5449,105.0812
2019-02-07,104.8223,104.7376,105.1409,103.8465
2019-02-08,105.2206,103.946,105.3301,103.8169
2019-02-11,104.8024,105.7483,106.1267,104.5186
2019-02-12,106.4354,105.6886,106.6843,105.0314
2019-02-13,106.3557,107.0428,107.3216,106.2562
2019-02-14,106.4454,105.8579,106.8337,105.2106
2019-02-15,107.7597,107.4511,107.8394,106.9058
2019-02-19,107.71,107.3316,108.1979,107.3216
2019-02-20,107.15,107.86,107.94,106.29
2019-02-21,109.41,106.9,109.48,106.87
2019-02-22,110.97,110.05,111.2,109.82
2019-02-25,111.59,111.76,112.18,111.26
2019-02-26,112.36,111.26,113.24,111.17
2019-02-27,112.17,111.69,112.36,110.88
2019-02-28,112.03,112.04,112.88,111.73
2019-03-01,112.53,112.89,113.02,111.665
