date,open,high,low,close,volume
2016-01-04,26.7568,26.9407,26.494,26.8969,62881520
2016-01-05,26.8706,27.0108,26.6692,26.9232,55176246
2016-01-06,26.5116,26.9013,26.3189,26.494,62652684
2016-01-07,25.9685,26.2357,25.2679,25.373,92267374
2016-01-08,25.5744,25.662,24.8212,24.9175,74496052
2016-01-11,24.9964,26.205,24.7424,25.0314,58433442
2016-01-12,25.189,25.2898,24.8212,25.0839,47682758
2016-01-13,25.3204,25.4518,24.6986,24.7336,55717721
2016-01-14,24.7949,25.6182,24.7774,25.4518,65236862
2016-01-15,24.646,25.189,24.611,24.9526,69424814
2016-01-19,25.154,25.3028,24.6986,24.9526,51986819
2016-01-20,24.4621,24.9,24.068,24.5234,88062769
2016-01-21,24.6373,25.3905,24.6373,25.0401,56037636
2016-01-22,25.0051,25.0139,24.2694,24.7336,87869409
2016-01-25,24.8037,24.9526,24.5234,24.5584,44848832
2016-01-26,24.5847,24.9964,24.5672,24.7949,42432903
2016-01-27,24.6986,25.027,24.3658,24.5234,46116363
2016-01-28,24.7161,24.8299,24.4621,24.7073,40069897
2016-01-29,24.9263,25.4956,24.8212,25.4868,51576199
2016-02-01,25.408,25.4255,25.0139,25.0839,43446238
2016-02-02,24.7599,24.7774,24.4533,24.7336,40071820
2016-02-03,24.865,25.1277,24.4095,25.1102,44261622
2016-02-04,25.0927,25.8021,24.9526,25.5569,53998318
2016-02-05,25.5306,25.5744,24.7862,24.9964,51984714
2016-02-08,24.7161,24.7599,24.3132,24.6723,48096401
2016-02-09,24.3044,24.9964,24.3044,24.7686,37031617
2016-02-10,24.8475,25.1365,24.7424,24.7862,32492566
2016-02-11,24.3044,24.5497,23.7352,24.0417,80549950
2016-02-12,24.1468,24.7511,23.9629,24.7511,57645610
2016-02-16,25.0314,25.4255,24.8913,25.2766,47218843
2016-02-17,25.5219,25.9335,25.5043,25.697,38254827
2016-02-18,25.662,25.7014,25.3905,25.4693,31054282
2016-02-19,25.3467,25.5131,25.119,25.4168,36065058
2016-02-22,25.6182,25.824,25.5744,25.7583,38513129
2016-02-23,25.5832,25.7145,25.4693,25.5919,31151238
2016-02-24,25.3117,25.443,24.8737,25.3642,44928510
2016-02-25,25.426,25.8498,25.4083,25.8056,35881326
2016-02-26,25.8674,26.097,25.8586,25.9557,29345109
2016-02-29,25.991,26.0881,25.7085,25.7262,34166440
2016-03-01,25.9645,26.4589,25.8763,26.3795,32332716
2016-03-02,26.2912,26.6443,26.2735,26.6443,37215228
2016-03-03,26.662,26.8386,26.5384,26.6797,28112867
2016-03-04,26.6797,27.0063,26.6797,26.8915,33034866
2016-03-07,26.715,26.8827,26.6002,26.7415,26247242
2016-03-08,26.5561,26.6797,26.4589,26.5384,31147912
2016-03-09,26.6267,26.662,26.4589,26.5296,24820939
